country,year,gdp_pc
Estonia,2024,20078.1397620993
Estonia,2023,20126.3730486957
Estonia,2022,21023.2994937246
Estonia,2021,21570.6658455268
Estonia,2020,19946.945696898
Estonia,2019,20579.8756732376
Estonia,2018,19914.3454922878
Estonia,2017,19270.8141210511
Estonia,2016,18264.9873304279
Estonia,2015,17722.1557669523
Estonia,2014,17413.6867560212
Estonia,2013,16809.5326683781
Estonia,2012,16460.6843479001
Estonia,2011,15820.922342204
Estonia,2010,14657.939813612
Estonia,2009,14274.8511086787
Estonia,2008,16688.997772178
Estonia,2007,17543.4661785723
Estonia,2006,16234.5152041417
Estonia,2005,14703.6179707772
Estonia,2004,13348.5284463324
Estonia,2003,12424.0441535693
Estonia,2002,11474.6622721923
Estonia,2001,10662.9455020331
Estonia,2000,10006.7696280939
Estonia,1999,9133.89593384355
Estonia,1998,9199.93534127632
Estonia,1997,8732.99085657194
Estonia,1996,7637.25708286963
Estonia,1995,7170.94607721168
Estonia,1994,6738.99904122236
Lithuania,2024,19205.4152293136
Lithuania,2023,18748.9302647191
Lithuania,2022,18873.8427527274
Lithuania,2021,18572.2895051093
Lithuania,2020,17443.65526328
Lithuania,2019,17431.7239081591
Lithuania,2018,16604.9021440809
Lithuania,2017,15695.9993288456
Lithuania,2016,14823.107153522
Lithuania,2015,14269.8039878287
Lithuania,2014,13753.1895982305
Lithuania,2013,13145.8069309969
Lithuania,2012,12516.6184065667
Lithuania,2011,11836.7200384033
Lithuania,2010,10884.1161852582
Lithuania,2009,10612.9204044582
Lithuania,2008,12324.5197331387
Lithuania,2007,11889.3545234657
Lithuania,2006,10577.2145522871
Lithuania,2005,9692.86853763267
Lithuania,2004,8851.92598922347
Lithuania,2003,8218.69336289848
Lithuania,2002,7374.0979710116
Lithuania,2001,6854.52512826671
Lithuania,2000,6384.30865426374
Lithuania,1999,6129.99843995634
Lithuania,1998,6154.17245640636
Lithuania,1997,5685.44901491024
Lithuania,1996,5211.10025197912
Lithuania,1995,4924.09667530707
Lithuania,1994,4730.69620782245
Latvia,2024,16376.2565245797
Latvia,2023,16229.3844520245
Latvia,2022,16421.3748596
Latvia,2021,16070.1680032322
Latvia,2020,14900.7295718866
Latvia,2019,15328.3859933295
Latvia,2018,15120.0698171804
Latvia,2017,14382.8612727134
Latvia,2016,13787.3367440023
Latvia,2015,13321.9753140616
Latvia,2014,12731.6771959342
Latvia,2013,12353.5386135301
Latvia,2012,11971.0107466522
Latvia,2011,11018.5152421583
Latvia,2010,10500.8666223014
Latvia,2009,10675.425174228
Latvia,2008,12506.6945041012
Latvia,2007,12810.0409502542
Latvia,2006,11507.4648265658
Latvia,2005,10106.2626157732
Latvia,2004,8957.23393555082
Latvia,2003,8149.00183600084
Latvia,2002,7443.22944659059
Latvia,2001,6833.4354323157
Latvia,2000,6336.38296707987
Latvia,1999,5929.26767237825
Latvia,1998,5719.98918281481
Latvia,1997,5317.97997604979
Latvia,1996,4822.90414861125
Latvia,1995,4661.66840092451
Latvia,1994,4639.50575611837
