Weights,country,GDP_per_capita_2010_USD.2000,GDP_per_capita_2010_USD.2001,GDP_per_capita_2010_USD.2002,GDP_per_capita_2010_USD.2003,GDP_per_capita_2010_USD.2004,GDP_per_capita_2010_USD.2005,GDP_per_capita_2010_USD.2006,GDP_per_capita_2010_USD.2007,GDP_per_capita_2010_USD.2008,GDP_per_capita_2010_USD.2009,GDP_per_capita_2010_USD.2010,GDP_per_capita_2010_USD.2011,GDP_per_capita_2010_USD.2012,GDP_per_capita_2010_USD.2013,GDP_per_capita_2010_USD.2014,GDP_per_capita_2010_USD.2015,GDP_per_capita_2010_USD.2016,GDP_per_capita_2010_USD.2017,GDP_per_capita_2010_USD.2018,GDP_per_capita_2010_USD.2019,GDP_per_capita_2010_USD.2020
40823.14594,MSE,861.8016712,965.1665923,1134.584009,1332.204801,1489.101497,1723.629835,1993.347885,2324.664881,2518.5957,2055.471311,2083.483435,2177.780858,2338.349501,2371.966898,2415.625481,2449.9135,2383.87937,2577.230473,2692.113392,2934.234848,2684.652089
1,Synthetic Armenia,428.082581,457.3100619,484.52818,523.3920261,573.1017366,640.5460993,703.6710979,768.704459,816.6484635,828.868159,875.3555636,920.9614462,974.6305068,1034.56922,1095.599578,1157.375799,1217.590294,1282.987585,1359.271575,1416.23135,1327.70941
,,,,,,,,,,,,,,,,,,,,,,
,Armenia,1289.884252,1422.476654,1619.112189,1855.596827,2062.203233,2364.175935,2697.018983,3093.36934,3335.244164,2884.33947,2958.838999,3098.742304,3312.980008,3406.536118,3511.225059,3607.289299,3601.469664,3860.218058,4051.384967,4350.466198,4012.361499
0,Burundi,306.5844789,305.8544828,310.9453224,298.0252055,302.6820822,295.7371584,301.790644,302.1070647,306.5074087,307.9042593,313.3118113,315.6569164,319.438527,324.8286538,328.1471889,305.549646,294.2188419,286.4315217,281.9702263,278.3193654,270.691443
0.7,Cambodia,485.8604712,514.8539233,538.6391099,574.5241301,623.7298564,695.3649707,758.5845219,823.6950635,865.9080181,853.7593373,890.8520447,938.7962354,991.1608689,1046.665748,1103.203992,1162.904995,1224.286218,1288.18062,1363.917729,1439.162455,1374.578903
0,Central African Republic,460.3452087,470.356041,477.0975754,442.1528149,459.3453126,454.5074072,466.976837,479.1921675,480.4109018,513.9373975,531.7129976,550.0198974,575.5018908,365.1161276,364.0839593,377.422919,391.4735359,404.0024605,412.9902041,418.3155532,410.9894766
0,"Congo, Dem. Rep.",350.8707653,334.1199796,334.0156232,341.9905991,353.7318311,363.6674775,370.8857628,381.4554939,392.0746408,390.1120334,404.1515359,417.7569477,432.6783237,453.9988508,480.7660985,497.3170391,492.8026796,494.7811527,506.9581756,512.5862202,500.5698889
0,Ethiopia,262.0253134,275.7222156,271.9869092,258.6288156,285.5456888,310.4826498,334.727438,362.9693134,391.2555721,414.1204941,453.2988293,489.9926725,517.513461,556.3262878,596.455128,640.5419231,682.2393577,727.8440543,757.3504167,799.7951343,826.950339
0,Liberia,763.6653646,757.9006177,768.0130146,527.3709173,531.0735427,544.7939205,568.9742783,599.3383641,616.187155,623.5683769,638.2735933,668.9416537,701.7656977,742.6152287,728.7519601,710.3840166,681.5621768,681.2425225,672.864442,641.7672832,608.5169323
0,Madagascar,487.6602468,501.1185726,425.7393838,453.4934582,463.2880848,471.1950197,482.334994,495.3632414,513.7332105,479.5601022,469.240612,463.6628412,464.7432607,462.7079184,465.416407,467.2355537,473.0052886,478.6108217,480.9153568,488.9138567,456.1720573
0,Malawi,294.3439181,272.7702943,270.7369635,279.351217,287.2721539,289.0468576,294.5204004,313.8881112,328.3659413,345.6349986,358.9409028,365.7361036,362.1315659,370.3008243,380.5889783,380.5969877,379.6239342,384.4207507,390.949032,402.5431087,395.1324261
0,Mozambique,294.6469084,321.017815,340.7047523,353.4605927,370.3409592,383.7107749,409.2047841,428.7693646,447.6843601,463.1194882,479.8844861,501.5002444,523.2940376,544.4475127,568.5913343,589.85905,595.0776111,599.6915244,602.5301054,598.6853134,574.1932791
0.3,Myanmar,293.2675037,323.0410521,358.2693435,404.0837835,454.9694569,512.6353995,575.5397755,640.3930485,701.7095028,770.7887431,839.1971076,879.3469378,936.059662,1006.343988,1077.855944,1144.474341,1201.966471,1270.870504,1348.430551,1362.725439,1218.347257
0,Nepal,562.3031305,579.4659856,571.2807672,585.406948,604.6595802,617.7939891,630.6874562,644.3944018,676.4507099,701.4083396,731.6618133,755.9141324,790.9881496,821.0732055,870.7816903,901.7496077,897.403788,964.8977952,1021.331877,1069.789098,1028.463277
0,Niger,399.1432638,412.8582772,417.5783249,411.1932157,397.6626136,411.2001494,419.589865,416.8204172,432.3957334,424.4017201,443.4295556,436.6267571,464.2296993,470.1694744,482.2213639,484.2386326,492.5036346,497.6481958,513.5928968,523.6587777,511.8417212
0,Rwanda,344.9399779,360.6833386,398.7736669,401.3598308,425.1234454,456.590745,487.5189902,511.6951103,553.8304407,572.9021485,599.2074262,630.9322169,668.7991129,683.401662,707.7367654,751.0773926,775.4756879,785.3046337,830.4293412,885.5996116,834.3896159
0,Sierra Leone,403.0498743,364.0162531,440.5611762,459.8033005,469.1316294,471.8881603,476.3288206,500.9282349,515.57811,520.2143399,535.820735,556.8468994,627.1159414,740.3311333,757.1691812,588.2288628,610.4900558,622.6412858,630.4824554,651.89774,624.7055864
0,Tajikistan,434.3443177,468.2610867,510.0862466,556.2689651,602.4359602,630.781964,661.9430059,699.4219212,739.262575,751.9463107,783.5193787,822.9032077,864.700443,907.3781037,945.5254403,978.4049812,1020.616156,1066.406748,1119.642848,1174.091716,1199.059889
