,Armenia,Synthetic,Donor mean
invest_gdp,28.74874913171728,26.23290148172582,24.651335569326488
trade_gdp,72.89111291804551,93.28307432096915,78.64405313434321
inflation,3.4904966972901414,5.774354893803821,6.4359859151078895
pop_growth,-0.3342078165071765,0.7105069517124084,1.1621602421785933
special.1.industry_gdp,25.82877585760881,25.73547317800535,27.210683017872597
special.2.gdp_pc,1229.21510436102,1430.5033365165687,2117.909169971142
special.3.gdp_pc,2240.09273209788,2170.8378736558298,2538.459553423969
special.4.gdp_pc,2796.08143428043,2841.3529580651602,3071.2108885506723
special.5.gdp_pc,3512.39350276709,3584.3639588031656,3584.6698842732853
special.6.gdp_pc,4343.45839583019,4213.374721804938,4044.569034762536
