country,outcome_missing_2000_2024,outcome_missing_years,invest_gdp_n_pre,trade_gdp_n_pre,inflation_n_pre,pop_growth_n_pre,industry_gdp_n_pre,tourism_n_pre,tourism_last_year
Albania,0,,20,20,20,20,8,20,2020
Armenia,0,,20,20,20,20,8,20,2020
Bolivia,0,,20,20,20,20,8,20,2020
Bosnia and Herzegovina,0,,20,20,14,20,8,20,2020
Cambodia,0,,20,20,20,20,8,20,2020
Dominican Republic,0,,20,20,20,20,8,20,2020
Ecuador,0,,20,20,20,20,8,20,2019
"Egypt, Arab Rep.",0,,20,20,20,20,8,20,2019
El Salvador,0,,20,20,20,20,8,20,2020
Georgia,0,,20,20,20,20,8,20,2020
Ghana,0,,20,20,20,20,8,16,2015
Guatemala,0,,20,20,20,20,8,20,2020
Honduras,0,,20,20,20,20,8,20,2020
Indonesia,0,,20,20,20,20,8,20,2020
Jordan,0,,8,8,20,20,8,20,2020
Kazakhstan,0,,20,20,20,20,8,20,2020
Kenya,0,,20,20,20,20,8,20,2019
Kyrgyz Republic,0,,20,20,20,20,8,20,2019
Moldova,0,,20,20,20,20,8,20,2020
Mongolia,0,,20,20,20,20,8,20,2020
Morocco,0,,20,20,20,20,8,20,2020
Nepal,0,,20,20,20,20,8,20,2020
North Macedonia,0,,20,20,20,20,8,20,2020
Paraguay,0,,20,20,20,20,8,20,2020
Peru,0,,20,20,20,20,8,16,2020
Philippines,0,,20,20,20,20,8,20,2020
Rwanda,0,,20,20,20,20,8,14,2019
Senegal,0,,20,20,20,20,8,15,2017
Serbia,0,,20,20,20,20,8,18,2020
Tajikistan,0,,20,20,16,20,8,13,2018
Tunisia,0,,20,20,20,20,8,20,2020
Uzbekistan,0,,20,20,9,20,8,20,2019
Viet Nam,0,,20,20,20,20,8,20,2020
