country,growth_2020_pct
Armenia,-7.17
Albania,-1.81
Bolivia,-13.79
Bosnia and Herzegovina,-1.66
Cambodia,-4.96
Dominican Republic,-8.88
Ecuador,-10.31
"Egypt, Arab Rep.",1.88
El Salvador,-8.08
Georgia,-6.35
Ghana,-1.47
Guatemala,-3.22
Honduras,-10.55
Indonesia,-2.89
Kazakhstan,-3.86
Kenya,-2.21
Kyrgyz Republic,-9.03
Moldova,-7.26
Mongolia,-6.27
Morocco,-8.14
Nepal,-4.23
North Macedonia,-3.65
Paraguay,-2.15
Peru,-11.99
Philippines,-10.55
Rwanda,-4.93
Senegal,-1.29
Serbia,-0.29
Tajikistan,2.05
Tunisia,-9.73
Viet Nam,1.92
