year,Georgia,Cambodia,Kazakhstan,Tajikistan,Rwanda
2000,1453.6409941589689,1457.0868794515902,1474.9108109041915,1460.7881192998439,1439.9470675821033
2001,1600.311593011231,1570.7924274100158,1570.1805503770229,1579.7743862674258,1560.0428925886888
2002,1722.5930908608962,1688.3578636405516,1673.9516212374012,1696.1518959036885,1673.8380896723438
2003,1868.599156682881,1856.1320988930631,1840.111805901432,1858.6749150303945,1839.6893593212226
2004,2029.1809141367708,1989.6688331901885,1964.8240514514976,1998.004441803097,1978.3340366627933
2005,2221.741710676389,2174.5385889113672,2150.472198910391,2188.9984486938197,2169.0744084983603
2006,2430.78935497455,2368.7812452195494,2334.1557856756467,2386.4792863054254,2371.281261899441
2007,2626.1635892518957,2606.8820729904965,2587.588881338693,2612.232390191727,2607.2308049067838
2008,2720.571058662928,2700.76468856396,2690.3226855746066,2710.826000521344,2696.525442713442
2009,2732.1758654370674,2635.655894866756,2612.3733383723975,2660.4778673009155,2657.6169935686476
2010,2873.6120385399972,2811.5280487314426,2775.426205208516,2828.162643730276,2821.890891392837
2011,3053.3533815701808,3024.2899163017587,2978.346449281941,3030.4400088394123,3025.389619685939
2012,3185.2273862294437,3183.089950666001,3140.2129905350794,3177.4705870012244,3185.1997000654533
2013,3355.2392231892914,3363.596493423562,3313.3032783011186,3360.62994129277,3360.653542995178
2014,3488.3088848448415,3494.577431920154,3439.554006597556,3497.4525853691666,3495.016837939253
2015,3541.304617036086,3569.558728667565,3537.5214527658986,3571.6227451644836,3573.462503446347
2016,3605.6428962729988,3677.0414560690033,3675.9433266138217,3681.4414159718717,3675.758281511533
2017,3748.5681259515513,3849.432885679171,3865.177469971391,3855.8585417135537,3846.433413588202
2018,3914.116212613119,4056.1679680996913,4100.358324374671,4061.5986776234886,4049.0608101829193
2019,4082.9396851601873,4260.865276831457,4328.386378560093,4265.262993139021,4250.36831079653
2020,3901.064911657734,4016.02620253655,4075.7831682417955,4022.049196737194,4021.044764369341
2021,4004.3089926108214,4418.5300078459395,4517.062741038997,4363.363008044783,4334.97164020799
2022,4099.280730612479,4730.071133026768,4883.150240077658,4612.592325208595,4610.170622082994
2023,4252.229337023624,5036.366402052067,5212.877068191853,4878.360196889303,4881.055351472088
2024,4422.685222517058,5325.1555207190595,5527.511682440849,5135.551135657345,5149.518970893622
