year,armenia,synthetic,gap,gap_pct
2000,1229.21510436102,1429.9886553274205,-200.77355096640053,-14.040219844991007
2001,1351.12072694555,1557.258965695218,-206.13823874966806,-13.237248478941352
2002,1535.20452885187,1673.9967985589435,-138.7922697070735,-8.291071394315242
2003,1759.64684829386,1839.3861154411845,-79.73926714732443,-4.335102155982004
2004,1955.22262459229,1979.1516022794715,-23.928977687181487,-1.2090522858189077
2005,2240.09273209788,2169.9689875363997,70.12374456148018,3.231555149601137
2006,2551.43546358452,2379.1959410017653,172.23952258275494,7.239400488815273
2007,2919.3734936373,2622.060421776948,297.313071860352,11.33891001866637
2008,3141.33193500774,2702.038449320429,439.29348568731075,16.257854724376493
2009,2716.97436280471,2678.008216524069,38.966146280640714,1.4550420734413194
2010,2796.08143428043,2840.252712042614,-44.17127776218376,-1.555188296270203
2011,2943.83687119315,3043.8616470575107,-100.02477586436089,-3.28611439882803
2012,3159.75860786889,3213.1780219927,-53.41941412380993,-1.6625102548996362
2013,3266.29882999873,3377.46042777782,-111.16159777908979,-3.2912775784090504
2014,3393.09252326884,3505.353823392446,-112.2613001236059,-3.2025668671289953
2015,3512.39350276709,3583.197327539042,-70.8038247719519,-1.9759956904349536
2016,3533.88503607007,3668.2903016406253,-134.40526557055546,-3.6639757085322104
2017,3815.3747426037,3826.971407879565,-11.596665275865234,-0.3030246124125258
2018,4027.83393010979,4018.411785869612,9.422144240178113,0.23447433320074978
2019,4343.45839583019,4212.249747798536,131.20864803165387,3.1149304026958022
2020,4032.09043454955,3997.96558483864,34.124849710909984,0.8535553642662804
2021,4264.79961505187,4271.8587371174,-7.059122065529664,-0.16524708563497764
2022,4791.00481712183,4559.578878631875,231.4259384899542,5.07559896758261
2023,5197.23509013575,4827.205638704782,370.02945143096804,7.665500066209173
2024,5378.31799981682,5097.206278381678,281.1117214351416,5.515015600357306
