unit,pre_rmspe,post_rmspe,post_rmspe_2021,ratio,ratio_2021
Bolivia,36.096655058268226,351.46079329359424,305.6962885376412,9.736658222936624,8.468825935372065
Tunisia,94.02376726502736,773.4863115739495,588.7921841802645,8.226497768311097,6.262163294527647
Tajikistan,16.029311345077325,127.93560864090108,102.82235277983366,7.981354026178467,6.4146456804216285
Georgia,121.0359949004165,901.2937417114207,409.40400746659134,7.446493437369343,3.382497973461798
Viet Nam,35.21337399338273,242.03342933550582,242.88948075834665,6.873338220330393,6.897648626456251
Mongolia,117.95956413300169,664.4902182479545,322.7722077531993,5.633203404335481,2.736295357867442
Serbia,231.98584100865617,981.5294533058269,609.241723753885,4.230988619987384,2.6262021902067385
Albania,63.34539662781145,259.6287885557527,188.30588687989433,4.098621247589822,2.9726846291024667
Kyrgyz Republic,30.25319823610552,117.95872445584587,143.29239853766265,3.8990497313790993,4.7364380261340795
Moldova,54.68973481641307,208.19641737188834,147.02420565086828,3.8068646350321305,2.6883327583213017
"Egypt, Arab Rep.",55.53232234431128,197.48205516224903,201.2192706550857,3.556164172962578,3.6234621957188606
Peru,113.34557073517823,388.9411252774448,438.6906242103505,3.4314629389989215,3.87038171288856
Ecuador,185.323924761081,630.362369388781,684.9285559349047,3.4014084808609684,3.6958452979986927
Honduras,31.23384918448138,104.35481872090202,127.93230419204684,3.341080956898229,4.095950628320583
Dominican Republic,310.6681119016198,1033.2191608460632,719.786959995374,3.3257972777497544,2.3169000371152064
Philippines,45.965754214564335,150.0343554623006,192.59012861816208,3.2640464194703007,4.189861167493681
Bosnia and Herzegovina,44.89592151205666,145.20976212394316,179.71324796070928,3.2343642191406525,4.002885828113537
Morocco,35.89772322671217,96.31068865178948,62.420968875969805,2.682919137894597,1.738855929156008
Paraguay,110.68854652386408,285.3051340749681,231.00544846514646,2.5775488344086015,2.086986013637305
Cambodia,66.43338108785792,160.26650852438362,84.35480297141353,2.4124394378246636,1.269765313613266
El Salvador,31.122686537307562,74.89982224878023,116.69078104073118,2.4065988698949843,3.7493800832666215
Indonesia,25.072034941471227,56.923948170478894,75.75579083949125,2.2704159556000763,3.0215254173160426
North Macedonia,61.58948456054113,114.01348380459166,79.76816058100317,1.8511842503328448,1.2951587620869403
Senegal,64.88274245337553,105.17920021925399,63.6919781945765,1.6210658835026175,0.9816474425436824
Armenia,159.17903961627442,232.68772912752237,24.640785013146814,1.4617988001966338,0.1547991813026842
Ghana,44.15793821908287,63.19935518129556,75.24524292958968,1.4312116400847703,1.704002631560194
Nepal,26.385873452369086,30.989741387060324,37.576783014097295,1.1744823017893264,1.4241250372829108
Rwanda,164.72854735043526,174.1098383367694,201.22648405419946,1.0569500013035193,1.2215641265027386
Kazakhstan,2779.319184561739,2694.756781387371,2866.778235305354,0.9695744182085722,1.031467796584654
Guatemala,86.4358454398953,62.20789865456271,92.27299293293653,0.7197002393852916,1.0675315601222435
Kenya,24.26720251949296,13.266000211297015,4.38596706386538,0.5466637615374462,0.1807364099896678
