year,synthetic_2015,gap_2015
2000,1432.0929597702047,-202.8778554091848
2001,1586.681728372669,-235.5610014271192
2002,1722.7182349138097,-187.51370606193973
2003,1870.916893461663,-111.27004516780289
2004,2025.0028684550261,-69.78024386273614
2005,2205.5001763781597,34.59255571972017
2006,2410.8017842365657,140.6336793479545
2007,2612.1687092533275,307.2047843839723
2008,2692.7309842460604,448.60095076167954
2009,2695.374860124357,21.599502680352998
2010,2848.7765029860257,-52.69506870559553
2011,3026.0949723844383,-82.25810119128846
2012,3156.9407643012164,2.8178435676736626
2013,3305.2617985887696,-38.96296859003951
2014,3414.6047706952495,-21.51224742640943
2015,3457.2201598307765,55.173342936313475
2016,3499.4938316580055,34.391204412064326
2017,3618.879153954878,196.49558864882192
2018,3759.898306934777,267.935623175013
2019,3913.3121844407015,430.1462113894886
2020,3754.1407494906116,277.9496850589385
2021,3921.876435155743,342.9231798961273
2022,4075.8200229459326,715.184794175897
2023,4263.70539038824,933.5296997475107
2024,4459.428545334314,918.8894544825062
